שלום,[shalom],привет
לקרוע,[likroa],разорвать
להתקע,[lehitaka],застрять
להתפטר,[lehitpater],уволиться
להסתיר,[lehastir],скрыть
להתגבר,[lehitgaber],преодолеть
להתפשט,[lehitpashet],распространиться
לפתח,[liftoakh],открыть
להבטיח,[lehavtiah],обещать
להקטין,[lehaktin],уменьшить
לשקוע,[leshkoa],погрузить
לשחזר,[leshahzer],восстановить
להגביר,[lehagbir],увеличить
להפוך,[lahafoh],повернуть
להתחיל,[lehathil],начать
להשתמש,[lehistamesh],использовать
להפיץ,[lehafitz],распространить
להצטרף,[lehitstaref],присоединиться
להגיע,[lehagia],достигнуть
להתאמץ,[lehit'ametz],усиливаться
לעזור,[la'azor],помочь
להרגיש,[lehargish],почувствовать
להתקשר,[lehitkasher],позвонить
לבקש,[levakesh],попросить
לחלק,[lehalek],разделить
לתלות,[litlot],зависеть
להוסיף,[lehosif],добавить
לתת,[latet],предоставить
להשליך,[lehishlikh],бросить
לעקוב,[la'akov],следить
להמשיך,[leamshih],продолжить
למסור,[limsor],передать
להחזיר,[lehahzir],вернуть
להתקדם,[lehitkadem],продвигаться
להתנהג,[lehitnaheg],вести себя
לנצח,[lenatzeah],победить
ראש,[rosh],голова
עין,[ayin],глаз
אף,[af],нос
פה,[pe],рот
אוזן,[ozen],ухо
שן,[shen],зуб
גרון,[garon],горло
כתף,[katef],плечо
מרפק,[marpek],локоть
יד,[yad],рука
כף יד,[kaf yad],кисть
אצבע,[etzba],палец
ציפורן,[tziporen],ноготь
חזה,[haze],грудь
לב,[lev],сердце
בטן,[beten],живот
גב,[gav],спина
מותן,[moten],талия
ירך,[yareh],бедро
ברך,[bereh],колено
רגל,[regel],нога
כף רגל,[kaf regel],стопа
עקב,[akev],пятка
מוח,[moah],мозг
ריאה,[re'a],легкое
כבד,[kaved],печень
כליה,[kliya],почка
מעי,[mei],кишка
עור,[or],кожа
שריר,[shrir],мышца
עצם,[etsem],кость
דמעה,[dima],слеза
יפה,[yafe],красивый
יפה,[yafa],красивая
גדול,[gadol],большой
גדולה,[gdola],большая
קטן,[katan],маленький
קטנה,[ktana],маленькая
חכם,[haham],умный
חכמה,[hahama],умная
מהיר,[mahir],быстрый
מהירה,[mehira],быстрая
חזק,[hazak],сильный
חזקה,[hфzaka],сильная
חדש,[hadash],новый
חדשה,[hdasha],новая
ישן,[yashan],старый
ישנה,[yeshana],старая (вещь)
שמח,[sameah],веселый
שמחה,[smeha],веселая
עצוב,[atzuv],грустный
עצובה,[atzuva],грустная
חם,[ham],тёплый
חמה,[hama],тёплая
קר,[kar],холодный
קרה,[kara],холодная
ארוך,[aroh],длинный
ארוכה,[aruka],длинная
קצר,[katzar],короткий
קצרה,[ktzara],короткая
יקר,[yakar],дорогой
יקרה,[yakara],дорогая
זול,[zol],дешёвый
זולה,[zola],дешёвая
כבד,[kaved],тяжёлый
כבדה,[kveda],тяжёлая
קל,[kal],лёгкий
קלה,[kala],лёгкая
נמוך,[namuh],низкий
נמוכה,[nemuha],низкая
גבוה,[gavoa],высокий
גבוהה,[gavoa],высокая
רחב,[rahav],широкий
רחבה,[rehava],широкая
צר,[tzar],узкий
צרה,[tzara],узкая
חמוד,[hamud],милый
חמודה,[hamuda],милая
טעים,[ta'im],вкусный
טעימה,[te'ima],вкусная
מר,[mar],горький
מרה,[mara],горькая
מתוק,[matok],сладкий
מתוקה,[metuka],сладкая
מלוח,[maluah],солёный
מלוחה,[meluha],солёная
יבש,[yavesh],сухой
יבשה,[yevesha],сухая
רטוב,[ratuv],мокрый
רטובה,[retuva],мокрая
קשה,[kashe],твердый
קשה,[kasha],твердая
רך,[rah],мягкий
רכה,[raha],мягкая
נקי,[naki],чистый
נקייה,[nekiya],чистая
מלוכלך,[meluhlah],грязный
מלוכלכת,[meluhlehet],грязная
אמיץ,[amitz],смелый
אמיצה,[amitza],смелая
מפחיד,[mafhid],страшный
מפחידה,[mafhida],страшная
מהמם,[mehamem],потрясающий
מהממת,[mehamemet],потрясающая
רע,[ra],плохой
רעה,[ra'a],плохая
טוב,[tov],хороший
טובה,[tova],хорошая
עשיר,[ashir],богатый
עשירה,[ashira],богатая
עני,[ani],бедный
ענייה,[aniya],бедная
מעניין,[mean'yen],интересный
מעניינת,[mean'yenet],интересная
משעמם,[mesha'amem],скучный
משעממת,[mesha'amemet],скучная
עמוק,[amok],глубокий
עמוקה,[amuka],глубокая
רדוד,[radud],мелкий
רדודה,[reduda],мелкая
עצוב,[atzuv],грустный
עצובה,[atzuva],грустная
איטי,[iti],медленный
איטית,[itit],медленная
חלש,[halash],слабый
חלשה,[halasha],слабая
מוכר,[mukar],знакомый
מוכרת,[mukeret],знакомая
מוזר,[muzar],странный
מוזרה,[muzara],странная
קרוב,[karov],близкий
קרובה,[krova],близкая
עסוק,[asuk],занятой
עסוקה,[asuka],занятая
חופשי,[hofshi],свободный
חופשית,[khofshit],свободная
חשוב,[hashuv],важный
חשובה,[hashuva],важная
רופא,[rofe],врач
רופאה,[rof'a],врач (женщина)
מורה,[more],учитель
מורה,[mora],учительница
מהנדס,[mehandes],инженер
מהנדסת,[mehandeset],инженер (женщина)
אדריכל,[adrihal],архитектор
אדריכלית,[adrihalit],архитектор (женщина)
עורך דין,[oreh din],адвокат
עורכת דין,[orehet din],адвокат (женщина)
אח,[ah],медбрат
אחות,[ahot],медсестра
שוטר,[shoter],полицейский
שוטרת,[shoteret],полицейская
כבאי,[kabai],пожарный
כבאית,[kaba'it],пожарная
נהג,[nahag],водитель
נהגת,[nahaget],водительница
טבח,[tabah],повар
טבחית,[tabahit],повариха
מלצר,[meltzar],официант
מלצרית,[meltzarit],официантка
מוזיקאי,[muzikai],музыкант
מוזיקאית,[muzikait],музыкант (женщина)
רקדן,[rakdan],танцор
רקדנית,[rakdanit],танцовщица
זמר,[zamar],певец
זמרת,[zameret],певица
שחקן,[sahkan],актер
שחקנית,[sahkanit],актриса
סופר,[sofer],писатель
סופרת,[soferet],писательница
עיתונאי,[itonai],журналист
עיתונאית,[itonait],журналистка
צלם,[tzalam],фотограф
צלמת,[tzalemet],фотограф (женщина)
חקלאי,[haklai],фермер
חקלאית,[haklait],фермер (женщина)
בנאי,[banai],строитель
בנאית,[banait],строитель (женщина)
מתכנת,[metahnet],программист
מתכנתת,[metaknetet],программистка
איש עסקים,[ish asakim],бизнесмен
אשת עסקים,[eshet asakim],бизнесвумен
חוקר,[hoker],исследователь
חוקרת,[hokeret],исследовательница
פסיכולוג,[psiholog],психолог
פסיכולוגית,[psihologit],психолог (женщина)
רוקח,[rokeah],фармацевт
רוקחת,[rokahat],фармацевт (женщина)
חשמלאי,[hashmalai],электрик
חשמלאית,[hashmalait],электрик (женщина)
שרברב,[sharvav],сантехник
שרברבית,[sharvavit],сантехник (женщина)
מנהל,[menahel],менеджер
מנהלת,[menahelet],менеджер (женщина)
ספר,[sapar],парикмахер
ספרית,[saparit],парикмахер (женщина)
מאפר,[me'aper],визажист
מאפרת,[me'aperet],визажист (женщина)
צייר,[tzayar],художник
ציירת,[tzayeret],художница
נהג מונית,[nahag monit],таксист
נהגת מונית,[nahaget monit],таксистка
סבל,[sabal],грузчик
סבלית,[sabalit],грузчица
גנן,[ganan],садовник
גננת,[ganenet],садовница
שומר,[shomer],охранник
שומרת,[shomeret],охранница
מדריך,[madrih],инструктор
מדריכה,[madriha],инструктор (женщина)
קצב,[katzav],мясник
קצבה,[katzava],мясник (женщина)
אופה,[ofe],пекарь
אופה,[ofa],пекарь (женщина)
כימאי,[himai],химик
כימאית,[himait],химик (женщина)
פיזיקאי,[fizikai],физик
פיזיקאית,[fizikait],физик (женщина)
מתמטיקאי,[matematikai],математик
מתמטיקאית,[matematikait],математик (женщина)
ביולוג,[biolog],биолог
ביולוגית,[biologit],биолог (женщина)
מהנדס תוכנה,[mehandes tokhna],инженер-программист
מהנדסת תוכנה,[mehandeset tokhna],инженер-программист (женщина)
אנליסט,[analist],аналитик
אנליסטית,[analistit],аналитик (женщина)
עורך,[oreh],редактор
עורכת,[orehet],редактор (женщина)
פטיש,[patish],молоток
מסור,[masor],пила
מברג,[mavreg],отвёртка
מקדחה,[makdeha],дрель
פצירה,[ptzira],напильник
צבת,[tzavet],плоскогубцы
מד מטר,[mad meter],рулетка
פלס,[peless],уровень
מַסְמֵר,[masmer],гвоздь
בורג,[boreg],винт
אום,[um],гайка
מפתח ברגים,[mafteah bregim],гаечный ключ
מלטשת,[melteshet],шлифовальная машина
טְרַקְטוֹר,[traktor],трактор
מערבל בטון,[me'arbel beton],бетономешалка
מסור עגול,[masor agol],циркулярная пила
כלי עבודה,[kelei avoda],инструменты
כְּפָפָה,[k'fafa],перчатка
כְּבִישָׁה,[kvisha],стяжка
מחפרון,[mahperon],экскаватор
מלגזה,[malgeza],погрузчик
בולדוזר,[buldoser],бульдозер
מַפְרֶצֶת,[mafretzet],лом
מַטְעֵן,[maten],зарядное устройство
מחסום,[mahsom],барьер
דֶלְפֶּק,[delpek],скамья
מַסְמֵר נָסָר,[masmer nasar],степлер
מסור סרט,[masor seret],ленточная пила
סַרְגֵל,[sargel],линейка
