accept, [əkˈsɛpt], принимать
rip, [rɪp], рвать
rise, [raɪz], подниматься
risk, [rɪsk], рисковать
roam, [roʊm], бродить
roar, [roʊr], рычать
rob, [rɑb], грабить
rock, [rɑk], качать
roll, [roʊl], катить
rot, [rɑt], гнить
rotate, [roʊˈteɪt], вращать
roughen, [ˈrʌfn], крошить
round, [raʊnd], округлять
row, [roʊ], грести
rub, [rʌb], тереть
ruin, [ˈruɪn], разрушать
rule, [rul], править
ruminate, [ˈruməˌneɪt], размышлять
run, [rʌn], бегать
rush, [rʌʃ], мчаться
rust, [rʌst], ржаветь
sabotage, [ˈsæbəˌtɑʒ], саботировать
sacrifice, [ˈsækrəˌfaɪs], жертвовать
sadden, [ˈsædən], огорчать
saddle, [ˈsædəl], седлать
safeguard, [ˈseɪfgɑrd], обеспечивать защиту
sail, [seɪl], плыть
sally, [ˈsæli], бросаться в атаку
salute, [səˈlut], салютовать
sample, [ˈsæmpəl], отбирать образцы
sanitize, [ˈsænəˌtaɪz], дезинфицировать
sap, [sæp], истощать
satiate, [ˈseɪʃiˌeɪt], насыщать
satisfy, [ˈsætɪsˌfaɪ], удовлетворять
saunter, [ˈsɔntər], прогуливаться
save, [seɪv], спасать
savor, [ˈseɪvər], наслаждаться
saw, [sɔ], пилить
say, [seɪ], говорить
scald, [skɔld], ошпаривать
scale, [skeɪl], масштабировать
scamper, [ˈskæmpər], бегать быстро
scan, [skæn], сканировать
scar, [skɑr], шрамить
scare, [skɛr], пугать
scatter, [ˈskætər], разбрасывать
scent, [sɛnt], аромат
schedule, [ˈskɛdʒul], планировать
school, [skul], учить
scoff, [skɔf], насмехаться
scold, [skoʊld], ругать
scoop, [skup], черпать
score, [skɔr], набирать очки
scorn, [skɔrn], презирать
scorch, [skɔrtʃ], обжигать
scorn, [skɔrn], презирать
scramble, [ˈskræmbəl], переполошить
scrape, [skreɪp], скрести
scratch, [skræʧ], царапать
scream, [skrim], кричать
screen, [skrin], экран
screw, [skruː], завинчивать
scribble, [ˈskrɪbəl], нацарапать
scrub, [skrʌb], тереть
sculpt, [skʌlpt], лепить
seal, [siːl], запечатывать
search, [sɜrtʃ], искать
season, [ˈsiːzn], прямить
seat, [sit], сажать
secure, [sɪˈkjʊr], обеспечивать безопасность
see, [siː], видеть
seek, [sik], искать
seem, [sim], казаться
seize, [siz], захватывать
select, [sɪˈlɛkt], выбирать
sell, [sɛl], продавать
send, [sɛnd], отправлять
sense, [sɛns], чувствовать
sentence, [ˈsɛntəns], приговаривать
separate, [ˈsɛpəˌreɪt], отделять
sequence, [ˈsiːkwəns], упорядочивать
serve, [sɜrv], служить
set, [sɛt], устанавливать
settle, [ˈsɛtl], урегулировать
sever, [ˈsɛvər], разрывать
sew, [soʊ], шить
shade, [ʃeɪd], тень
shake, [ʃeɪk], трясти
shame, [ʃeɪm], позорить
shape, [ʃeɪp], формировать
share, [ʃɛr], делиться
sharpen, [ˈʃɑrpən], точить
shatter, [ˈʃætər], разрушать
shave, [ʃeɪv], брить
shear, [ʃɪr], стричь
shed, [ʃɛd], сбрасывать
shelter, [ˈʃɛltər], приют
shift, [ʃɪft], изменять
shine, [ʃaɪn], сиять
ship, [ʃɪp], отправлять
shirk, [ʃɜrk], уклоняться
shiver, [ˈʃɪvər], дрожать
shock, [ʃɑk], шокировать
shoot, [ʃut], стрелять
shop, [ʃɑp], магазин
shore, [ʃɔr], берег
shorten, [ˈʃɔrtn], укорачивать
shoulder, [ˈʃoʊldər], возлагать ответственность
shout, [ʃaʊt], кричать
shove, [ʃʌv], толкать
show, [ʃoʊ], показывать
shrink, [ʃrɪŋk], сокращаться
shrug, [ʃrʌɡ], пожимать плечами
shun, [ʃʌn], избегать
shut, [ʃʌt], закрывать
sicken, [ˈsɪkən], вызывать тошноту
side, [saɪd], поддерживать
sigh, [saɪ], вздыхать
sign, [saɪn], подписывать
signal, [ˈsɪɡnəl], сигнализировать
signify, [ˈsɪɡnɪˌfaɪ], означать
silence, [ˈsaɪləns], замолчать
simplify, [ˈsɪmpləˌfaɪ], упрощать
simulate, [ˈsɪmjəˌleɪt], имитировать
sin, [sɪn], грешить
sing, [sɪŋ], петь
sink, [sɪŋk], тонуть
sip, [sɪp], глотать
sit, [sɪt], сидеть
size, [saɪz], определять размер
skate, [skeɪt], кататься на коньках
sketch, [skɛʧ], набросок
ski, [skiː], кататься на лыжах
skid, [skɪd], заносить
skim, [skɪm], подметать
skip, [skɪp], пропускать
skirt, [skɜrt], обходить
slacken, [ˈslækən], ослабевать
slam, [slæm], хлопать
slap, [slæp], шлепать
slash, [slæʃ], разрубать
sleep, [slip], спать
slice, [slaɪs], нарезать
slide, [slaɪd], скользить
slip, [slɪp], поскользнуться
slit, [slɪt], разрезать
smack, [smæk], хлопать
smart, [smɑrt], умный
smash, [smæʃ], разбивать
smell, [smɛl], пахнуть
smile, [smaɪl], улыбаться
smite, [smaɪt], поражать
smoke, [smoʊk], курить
smooth, [smuːð], разглаживать
smuggle, [ˈsmʌɡəl], провозить контрабанду
snap, [snæp], щелкать
snarl, [snɑrl], рычать
snatch, [snæʧ], вырывать
sneak, [snik], красться
sneeze, [sniz], чихать
sniff, [snɪf], нюхать
snore, [snɔr], храпеть
snow, [snoʊ], идти снегом
snub, [snʌb], не замечать
snuff, [snʌf], подуть
soak, [soʊk], промачивать
soar, [sɔr], взмывать
sob, [sɑb], рыдать
soil, [sɔɪl], загрязнять
solicit, [səˈlɪsɪt], умолять
solve, [sɑlv], решать
soothe, [suːð], успокаивать
sort, [sɔrt], сортировать
sound, [saʊnd], звучать
sow, [soʊ], сеять
span, [spæn], простирается
spark, [spɑrk], искра
sparkle, [ˈspɑrkl], искриться
spawn, [spɔn], порождать
speak, [spik], говорить
specify, [ˈspɛsəˌfaɪ], указывать
speed, [spid], ускорять
spell, [spɛl], произносить по буквам
spend, [spɛnd], тратить
spill, [spɪl], проливать
spin, [spɪn], вертеть
spit, [spɪt], плевать
splash, [splæʃ], брызгать
splice, [splaɪs], склеивать
split, [splɪt], раскалывать
spoil, [spɔɪl], портить
sponsor, [ˈspɒnsər], спонсировать
spook, [spuk], испугать
spot, [spɑt], замечать
spray, [spreɪ], распылять
spread, [sprɛd], распространять
spring, [sprɪŋ], пружина
sprout, [spraʊt], прорастать
spur, [spɜr], побуждать
spy, [spaɪ], шпионить
squeeze, [skwiz], сжимать
stabilize, [ˈsteɪbəˌlaɪz], стабилизировать
stack, [stæk], складывать в стопку
staff, [stæf], обслуживающий персонал
stage, [steɪʤ], стадия
stain, [steɪn], пятно
stalk, [stɔk], преследовать
stall, [stɔl], застопорить
stamp, [stæmp], маркировать
stand, [stænd], стоять
stare, [stɛr], уставиться
start, [stɑrt], начинать
stash, [stæʃ], укрывать
state, [steɪt], утверждать
station, [ˈsteɪʃən], станция
stay, [steɪ], оставаться
steady, [ˈstɛdi], стабилизировать
steal, [stil], красть
steer, [stɪr], управлять
stem, [stɛm], предотвращать
step, [stɛp], шагать
